name,metric,cluster_num,value,n,network_id,clustering_id
blondel,0.8_recall,Entire Graph,0.17181740989738678,10000,2,2
blondel,0.9_precision,Entire Graph,0.9482584117456722,10000,2,2
blondel,0.9_recall,Entire Graph,0.17181740989738678,10000,2,2
blondel,1.0_precision,Entire Graph,0.5185185185185185,10000,2,2
blondel,1.0_recall,Entire Graph,0.09069258568833252,10000,2,2
blondel,NLS,Entire Graph,0.87216285801890014,10000,2,2
blondel,Block_size_median,Entire Graph,51.0,10000,2,2
blondel,Sample_block_num,Entire Graph,27,10000,2,2
blondel,Original_block_num,Entire Graph,29,10000,2,2
blondel,ANC,Entire Graph,0.9310344827586207,10000,2,2
blondel,Scikit-learn NMI,Entire Graph,0.97199215924716442,10000,2,2
blondel,Adjusted Rand Score,Entire Graph,0.9578072512856469,10000,2,2
blondel,Lancichinetti NMI,Entire Graph,0.902268,10000,2,2
infomap,Modularity,Entire Graph,0.3807,10000,1,1
infomap,Coverage,Entire Graph,0.4447,10000,1,1
infomap,Conductance,Entire Graph,0.2410,10000,1,1
infomap,Modularity,Entire Graph,0.3807,10000,1,2
infomap,Coverage,Entire Graph,0.4447,10000,1,2
infomap,Conductance,Entire Graph,0.2410,10000,1,2
infomap,Modularity,Entire Graph,0.3817,10000,2,1
infomap,Coverage,Entire Graph,0.4484,10000,2,1
infomap,Conductance,Entire Graph,0.2459,10000,2,1
infomap,Modularity,Entire Graph,0.3817,10000,2,2
infomap,Coverage,Entire Graph,0.4484,10000,2,2
infomap,Conductance,Entire Graph,0.2459,10000,2,2
infomap,0.5_precision,Entire Graph,0.9924488645094625,10000,1,1
infomap,0.5_recall,Entire Graph,0.19653719679767565,10000,1,1
infomap,0.6_precision,Entire Graph,0.9924488645094625,10000,1,1
infomap,0.6_recall,Entire Graph,0.19653719679767565,10000,1,1
infomap,0.7_precision,Entire Graph,0.9924488645094625,10000,1,1
infomap,0.7_recall,Entire Graph,0.19653719679767565,10000,1,1
infomap,0.8_precision,Entire Graph,0.9924488645094625,10000,1,1
infomap,0.8_recall,Entire Graph,0.19653719679767565,10000,1,1
infomap,0.9_precision,Entire Graph,0.9924488645094625,10000,1,1
infomap,0.9_recall,Entire Graph,0.19653719679767565,10000,1,1
infomap,1.0_precision,Entire Graph,0.717948717948718,10000,1,1
infomap,1.0_recall,Entire Graph,0.13685779677458454,10000,1,1
infomap,NLS,Entire Graph,0.85747842691131737,10000,1,1
infomap,Block_size_median,Entire Graph,27.0,10000,1,1
